epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,15622.5,0.78678,0.51803,0.00819,0.91256,0.88192,0.90685,0.69164,0.92084,0.62241,0.01144,0.000321875,0.000321875,0.000321875
102,15756.5,0.78189,0.50411,0.008,0.91967,0.87498,0.90511,0.68673,0.94002,0.6152,0.01174,0.000310721,0.000310721,0.000310721
103,15890.6,0.79361,0.51321,0.00817,0.90591,0.87518,0.90388,0.68457,0.92319,0.62274,0.01153,0.000299707,0.000299707,0.000299707
104,16052.8,0.7694,0.51182,0.00795,0.90067,0.88617,0.906,0.68291,0.91861,0.631,0.01141,0.000288839,0.000288839,0.000288839
105,16206.6,0.77774,0.50404,0.00799,0.90346,0.89015,0.90587,0.68455,0.93468,0.60868,0.01183,0.000278121,0.000278121,0.000278121
106,16361,0.78232,0.51906,0.00805,0.91076,0.87813,0.90446,0.68818,0.91958,0.62515,0.01149,0.000267558,0.000267558,0.000267558
107,16513.5,0.78151,0.49639,0.00816,0.92014,0.86886,0.90261,0.68423,0.93335,0.63102,0.01186,0.000257154,0.000257154,0.000257154
108,16666.6,0.77732,0.48876,0.00796,0.91349,0.8786,0.90694,0.69106,0.92371,0.61183,0.01142,0.000246915,0.000246915,0.000246915
109,16821.4,0.76752,0.49231,0.00789,0.90868,0.88608,0.90719,0.69421,0.91642,0.60936,0.01128,0.000236844,0.000236844,0.000236844
110,16975.8,0.76446,0.47957,0.00776,0.90423,0.88659,0.90807,0.69043,0.91529,0.62068,0.01124,0.000226946,0.000226946,0.000226946
111,17129.9,0.76962,0.49266,0.00789,0.90707,0.87665,0.90267,0.6906,0.90998,0.62176,0.01115,0.000217225,0.000217225,0.000217225
112,17281.5,0.75202,0.47916,0.00766,0.91121,0.88652,0.90552,0.69371,0.91,0.6164,0.01118,0.000207686,0.000207686,0.000207686
113,17416.1,0.75359,0.47662,0.00766,0.91316,0.88076,0.90477,0.68985,0.91155,0.61019,0.01122,0.000198333,0.000198333,0.000198333
114,17550.5,0.75862,0.46796,0.00796,0.91678,0.87261,0.9071,0.68956,0.9253,0.60739,0.01154,0.00018917,0.00018917,0.00018917
115,17684.8,0.7626,0.50776,0.0077,0.92376,0.86981,0.90694,0.69182,0.92763,0.61915,0.01149,0.000180201,0.000180201,0.000180201
116,17818.8,0.75865,0.47583,0.00771,0.90624,0.88506,0.90584,0.6893,0.91869,0.6347,0.01136,0.000171429,0.000171429,0.000171429
117,17954.9,0.74415,0.46093,0.00771,0.907,0.89171,0.90543,0.69012,0.91395,0.61745,0.01135,0.000162859,0.000162859,0.000162859
118,18088.5,0.73819,0.46354,0.00755,0.91552,0.88588,0.9064,0.69062,0.91609,0.63034,0.01136,0.000154495,0.000154495,0.000154495
119,18222.8,0.76992,0.48653,0.0077,0.90334,0.89791,0.90749,0.69191,0.92037,0.6126,0.01138,0.00014634,0.00014634,0.00014634
120,18356.5,0.76183,0.49062,0.00767,0.90839,0.88843,0.90676,0.68932,0.91589,0.62035,0.01135,0.000138397,0.000138397,0.000138397
121,18491.4,0.75321,0.49222,0.00775,0.91333,0.87587,0.9087,0.69365,0.91764,0.61081,0.01126,0.000130671,0.000130671,0.000130671
122,18625.8,0.74911,0.47908,0.00774,0.91003,0.88693,0.90809,0.69496,0.92283,0.61147,0.01137,0.000123164,0.000123164,0.000123164
123,18759.3,0.74256,0.47395,0.00758,0.92387,0.87138,0.90711,0.69608,0.91654,0.62123,0.01126,0.00011588,0.00011588,0.00011588
124,18893.4,0.73338,0.48491,0.00736,0.91876,0.87567,0.90533,0.69246,0.91339,0.62866,0.01122,0.000108822,0.000108822,0.000108822
125,19026.7,0.73603,0.46661,0.00755,0.90657,0.87919,0.90396,0.69389,0.91647,0.61094,0.01136,0.000101993,0.000101993,0.000101993
126,19160.2,0.71873,0.44625,0.00712,0.91418,0.87182,0.90321,0.68874,0.91795,0.61708,0.01136,9.53968e-05,9.53968e-05,9.53968e-05
127,19293.3,0.73175,0.46035,0.00741,0.91939,0.87031,0.90498,0.68941,0.9174,0.6153,0.01132,8.90352e-05,8.90352e-05,8.90352e-05
128,19427.2,0.73726,0.44976,0.00762,0.93613,0.86115,0.90469,0.68993,0.91584,0.62562,0.01132,8.29115e-05,8.29115e-05,8.29115e-05
129,19560.5,0.7359,0.47695,0.00754,0.90125,0.87864,0.90273,0.6901,0.91342,0.63728,0.01129,7.70283e-05,7.70283e-05,7.70283e-05
130,19694.6,0.71875,0.44818,0.0074,0.91649,0.86911,0.90147,0.69246,0.91955,0.6224,0.01129,7.13883e-05,7.13883e-05,7.13883e-05
131,19827.7,0.72147,0.45325,0.00732,0.9084,0.8832,0.90363,0.6906,0.92341,0.62729,0.01142,6.59937e-05,6.59937e-05,6.59937e-05
132,19960.9,0.7282,0.46135,0.00732,0.9165,0.86849,0.90239,0.69016,0.91839,0.63538,0.01133,6.08472e-05,6.08472e-05,6.08472e-05
133,20094.8,0.73736,0.45681,0.00731,0.91472,0.87569,0.90375,0.69206,0.92124,0.63081,0.01128,5.59508e-05,5.59508e-05,5.59508e-05
134,20228.5,0.73533,0.47567,0.00752,0.91364,0.87195,0.90498,0.69309,0.91916,0.62813,0.01124,5.13068e-05,5.13068e-05,5.13068e-05
135,20362.7,0.72713,0.44439,0.00728,0.91416,0.8776,0.90512,0.69132,0.91227,0.64376,0.01127,4.69171e-05,4.69171e-05,4.69171e-05
